Name,Symbol,Year,Status,CompanyURL,ReportURL,PDFPath,Error
Apple Inc.,AAPL,2022,Downloaded,https://www.responsibilityreports.com/Company/apple-inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AAPL_2022.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2022_AAPL.pdf,
Microsoft Corp.,MSFT,2022,Downloaded,https://www.responsibilityreports.com/Company/microsoft-corporation,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/m/NASDAQ_MSFT_2022.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2022_MSFT.pdf,
NVIDIA Corp.,NVDA,2024,Downloaded,https://www.responsibilityreports.com/Company/nvidia-corporation,https://www.responsibilityreports.com/Click/1532,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2024_NVDA.pdf,
Meta Platforms Inc. Class A,META,2024,Failed,https://www.responsibilityreports.com/Company/meta-platforms,,,No 2024 report link found on https://www.responsibilityreports.com/Company/meta-platforms
UnitedHealth Group Inc.,UNH,2024,Failed,https://www.responsibilityreports.com/Company/unitedhealth-group,,,No 2024 report link found on https://www.responsibilityreports.com/Company/unitedhealth-group
Johnson & Johnson,JNJ,2024,Failed,https://www.responsibilityreports.com/Company/johnson-and-johnson,,,No 2024 report link found on https://www.responsibilityreports.com/Company/johnson-and-johnson
JPMorgan Chase & Co.,JPM,2024,Failed,https://www.responsibilityreports.com/Company/jpmorgan-chase-and-co,,,No 2024 report link found on https://www.responsibilityreports.com/Company/jpmorgan-chase-and-co
Visa Inc. Class A,V,2024,Failed,https://www.responsibilityreports.com/Company/visa,,,No 2024 report link found on https://www.responsibilityreports.com/Company/visa
Procter & Gamble Company,PG,2024,Failed,https://www.responsibilityreports.com/Company/procter-and-gamble,,,No 2024 report link found on https://www.responsibilityreports.com/Company/procter-and-gamble
Mastercard Inc. Class A,MA,2024,Failed,https://www.responsibilityreports.com/Company/mastercard-inc,,,No 2024 report link found on https://www.responsibilityreports.com/Company/mastercard-inc
Chevron Corp.,CVX,2024,Failed,https://www.responsibilityreports.com/Company/chevron,,,No 2024 report link found on https://www.responsibilityreports.com/Company/chevron
AbbVie Inc.,ABBV,2024,Failed,https://www.responsibilityreports.com/Company/abbvie,,,No 2024 report link found on https://www.responsibilityreports.com/Company/abbvie
Eli Lilly and Company,LLY,2024,Failed,https://www.responsibilityreports.com/Company/eli-lilly-and-company,,,No 2024 report link found on https://www.responsibilityreports.com/Company/eli-lilly-and-company
Merck & Co. Inc.,MRK,2024,Failed,https://www.responsibilityreports.com/Company/merck-and-co,,,No 2024 report link found on https://www.responsibilityreports.com/Company/merck-and-co
PepsiCo Inc.,PEP,2024,Failed,https://www.responsibilityreports.com/Company/pepsico,,,No 2024 report link found on https://www.responsibilityreports.com/Company/pepsico
Coca-Cola Company,KO,2024,Failed,https://www.responsibilityreports.com/Company/coca-cola-company,,,No 2024 report link found on https://www.responsibilityreports.com/Company/coca-cola-company
Pfizer Inc.,PFE,2024,Failed,https://www.responsibilityreports.com/Company/pfizer,,,No 2024 report link found on https://www.responsibilityreports.com/Company/pfizer
Thermo Fisher Scientific Inc.,TMO,2024,Failed,https://www.responsibilityreports.com/Company/thermo-fisher-scientific,,,No 2024 report link found on https://www.responsibilityreports.com/Company/thermo-fisher-scientific
Costco Wholesale Corp.,COST,2024,Failed,https://www.responsibilityreports.com/Company/costco-wholesale,,,No 2024 report link found on https://www.responsibilityreports.com/Company/costco-wholesale
Walmart Inc.,WMT,2024,Failed,https://www.responsibilityreports.com/Company/walmart,,,No 2024 report link found on https://www.responsibilityreports.com/Company/walmart
McDonald’s Corp.,MCD,2024,Failed,https://www.responsibilityreports.com/Company/mcdonalds,,,No 2024 report link found on https://www.responsibilityreports.com/Company/mcdonalds
Abbott Laboratories,ABT,2024,Failed,https://www.responsibilityreports.com/Company/abbott-laboratories,,,No 2024 report link found on https://www.responsibilityreports.com/Company/abbott-laboratories
Linde,LIN,2024,Failed,https://www.responsibilityreports.com/Company/linde,,,No 2024 report link found on https://www.responsibilityreports.com/Company/linde
Adobe Inc.,ADBE,2024,Failed,https://www.responsibilityreports.com/Company/adobe,,,No 2024 report link found on https://www.responsibilityreports.com/Company/adobe
Texas Instruments Inc.,TXN,2024,Failed,https://www.responsibilityreports.com/Company/texas-instruments,,,No 2024 report link found on https://www.responsibilityreports.com/Company/texas-instruments
Verizon Communications Inc.,VZ,2024,Failed,https://www.responsibilityreports.com/Company/verizon-communications,,,No 2024 report link found on https://www.responsibilityreports.com/Company/verizon-communications
Netflix Inc.,NFLX,2024,Failed,https://www.responsibilityreports.com/Company/netflix,,,No 2024 report link found on https://www.responsibilityreports.com/Company/netflix
Philip Morris International Inc.,PM,2024,Failed,https://www.responsibilityreports.com/Company/philip-morris-international,,,No 2024 report link found on https://www.responsibilityreports.com/Company/philip-morris-international
NIKE Inc. Class B,NKE,2024,Failed,https://www.responsibilityreports.com/Company/nike,,,No 2024 report link found on https://www.responsibilityreports.com/Company/nike
Amazon.com Inc.,AMZN,2024,Failed,https://www.responsibilityreports.com/Company/amazon-com-inc,,,No 2024 report link found on https://www.responsibilityreports.com/Company/amazon-com-inc
Alphabet Inc. Class A,GOOGL,2024,Failed,https://www.responsibilityreports.com/Company/alphabet-inc,,,No 2024 report link found on https://www.responsibilityreports.com/Company/alphabet-inc
Alphabet Inc. Class C,GOOG,2024,Failed,https://www.responsibilityreports.com/Company/alphabet-inc,,,No 2024 report link found on https://www.responsibilityreports.com/Company/alphabet-inc
Tesla Inc.,TSLA,2024,Downloaded,https://www.responsibilityreports.com/Company/tesla-inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/t/NASDAQ_TSLA_2022.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2024_TSLA.pdf,
Amazon.com Inc.,AMZN,2022,Failed,https://www.responsibilityreports.com/Company/amazon-com-inc,,,No 2022 report link found on https://www.responsibilityreports.com/Company/amazon-com-inc
Alphabet Inc. Class A,GOOGL,2022,Failed,https://www.responsibilityreports.com/Company/alphabet-inc,,,No 2022 report link found on https://www.responsibilityreports.com/Company/alphabet-inc
Amazon.com Inc.,AMZN,2023,Downloaded,https://www.responsibilityreports.com/Company/amazoncom-inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AMZN_2022.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2023_AMZN.pdf,
Alphabet Inc. Class A,GOOGL,2023,Downloaded,https://www.responsibilityreports.com/Company/google-inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/g/NASDAQ_GOOG_2023.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2023_GOOGL.pdf,
Alphabet Inc. Class C,GOOG,2023,Downloaded,https://www.responsibilityreports.com/Company/google-inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/g/NASDAQ_GOOG_2023.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2023_GOOG.pdf,
Meta Platforms Inc. Class A,META,2023,Downloaded,https://www.responsibilityreports.com/Company/meta-platforms-inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/m/NASDAQ_META_2023.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2023_META.pdf,
UnitedHealth Group Inc.,UNH,2023,Downloaded,https://www.responsibilityreports.com/Company/unitedhealth-group,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_UNH_2023.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2023_UNH.pdf,
Berkshire Hathaway Inc. Class B,BRK.B,2023,Failed,https://www.responsibilityreports.com/Company/berkshire-hathaway-inc,,,Downloaded content is not a PDF. Content-Type: text/html. URL: https://www.responsibilityreports.com/
Exxon Mobil Corp.,XOM,2023,Failed,https://www.responsibilityreports.com/Company/exxon-mobil,,,Downloaded content is not a PDF. Content-Type: text/html. URL: https://www.responsibilityreports.com/
Johnson & Johnson,JNJ,2023,Downloaded,https://www.responsibilityreports.com/Company/johnson-and-johnson,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_JNJ_2023.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2023_JNJ.pdf,
JPMorgan Chase & Co.,JPM,2023,Downloaded,https://www.responsibilityreports.com/Company/jpmorgan-chase-and-co,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_JPM_2023.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2023_JPM.pdf,
Visa Inc. Class A,V,2023,Downloaded,https://www.responsibilityreports.com/Company/visa,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_V_2023.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2023_V.pdf,
Procter & Gamble Company,PG,2023,Failed,https://www.responsibilityreports.com/Company/procter-and-gamble,,,Downloaded content is not a PDF. Content-Type: text/html. URL: https://www.responsibilityreports.com/
Mastercard Inc. Class A,MA,2023,Downloaded,https://www.responsibilityreports.com/Company/mastercard-inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_MA_2023.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2023_MA.pdf,
Home Depot Inc.,HD,2023,Failed,https://www.responsibilityreports.com/Company/home-depot,,,Downloaded content is not a PDF. Content-Type: text/html. URL: https://www.responsibilityreports.com/
Chevron Corp.,CVX,2023,Downloaded,https://www.responsibilityreports.com/Company/chevron,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_CVX_2023.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2023_CVX.pdf,
AbbVie Inc.,ABBV,2023,Downloaded,https://www.responsibilityreports.com/Company/abbvie,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_ABBV_2023.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2023_ABBV.pdf,
Eli Lilly and Company,LLY,2023,Downloaded,https://www.responsibilityreports.com/Company/eli-lilly-and-company,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_LLY_2023.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2023_LLY.pdf,
Merck & Co. Inc.,MRK,2023,Downloaded,https://www.responsibilityreports.com/Company/merck-and-co,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_MRK_2023.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2023_MRK.pdf,
Broadcom Inc.,AVGO,2023,Failed,https://www.responsibilityreports.com/Company/broadcom,,,Downloaded content is not a PDF. Content-Type: text/html. URL: https://www.responsibilityreports.com/
PepsiCo Inc.,PEP,2023,Downloaded,https://www.responsibilityreports.com/Company/pepsico,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_PEP_2023.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2023_PEP.pdf,
Coca-Cola Company,KO,2023,Downloaded,https://www.responsibilityreports.com/Company/coca-cola-company,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_KO_2023.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2023_KO.pdf,
Pfizer Inc.,PFE,2023,Downloaded,https://www.responsibilityreports.com/Company/pfizer,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_PFE_2023.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2023_PFE.pdf,
Thermo Fisher Scientific Inc.,TMO,2023,Downloaded,https://www.responsibilityreports.com/Company/thermo-fisher-scientific,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_TMO_2023.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2023_TMO.pdf,
Costco Wholesale Corp.,COST,2023,Downloaded,https://www.responsibilityreports.com/Company/costco-wholesale,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NASDAQ_COST_2023.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2023_COST.pdf,
Cisco Systems Inc.,CSCO,2023,Failed,https://www.responsibilityreports.com/Company/cisco-systems,,,Downloaded content is not a PDF. Content-Type: text/html. URL: https://www.responsibilityreports.com/
Walmart Inc.,WMT,2023,Downloaded,https://www.responsibilityreports.com/Company/walmart,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_WMT_2023.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2023_WMT.pdf,
McDonald’s Corp.,MCD,2023,Downloaded,https://www.responsibilityreports.com/Company/mcdonalds,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_MCD_2023.pdf,/Users/flv_ia/PycharmProjects/PythonProject4/reports/2023_MCD.pdf,
